word,weight,id
数据,2304,1
统计,1413,2
用户,855,3
模型,846,4
分析,773,5
数据分析,750,6
大数据,650,7
研究,547,8
信息,543,9
大学,497,10
语言,430,11
方法,428,12
问题,426,13
会议,411,14
数据科学,401,15
学习,385,16
可能,373,17
中国,366,18
科学,359,19
计算,359,20
网络,350,21
公司,341,22
预测,314,23
应用,306,24
变量,280,25
时间,277,26
选择,255,27
广告,254,28
主要,239,29
行业,238,30
关键,232,31
系统,228,32
影响,226,33
估计,222,34
北京,220,35
品牌,217,36
学院,214,37
城市,213,38
误差,213,39
处理,210,40
产品,209,41
分布,209,42
过程,208,43
相关,200,44
搜索,199,45
训练,196,46
方面,193,47
重要,189,48
函数,187,49
行为,187,50
技术,180,51
有限,180,52
户的,179,53
市场,178,54
提供,178,55
关系,177,56
工作,176,57
非常,174,58
利用,171,59
机器,171,60
可视,170,61
联网,169,62
COS,168,63
本文,168,64
业务,167,65
文本,167,66
比较,167,67
得到,163,68
推荐,163,69
样的,162,70
演讲,162,71
介绍,159,72
微博,159,73
计之,159,74
统计之都,157,75
实际,156,76
工具,156,77
现在,156,78
用户的,156,79
可视化,154,80
报告,153,81
关注,151,82
器学习,151,83
方式,150,84
样本,150,85
能够,150,86
情况,149,87
机器学习,148,88
沙龙,148,89
data,147,90
学家,147,91
已经,147,92
音乐,147,93
有限公司,145,94
中心,143,95
发展,143,96
算法,142,97
老师,142,98
表示,142,99
型的,141,100
概率,140,101
互联,139,102
管理,138,103
言会,138,104
互联网,137,105
语言会,137,106
客户,136,107
特征,135,108
结构,135,109
语言会议,135,110
一种,134,111
企业,134,112
喜欢,134,113
大的,134,114
的是,134,115
的分,132,116
社交,132,117
金融,132,118
到了,131,119
用的,131,120
先生,130,121
量的,130,122
参数,129,123
学生,129,124
具体,128,125
发现,128,126
实现,128,127
教授,128,128
包括,127,129
指标,127,130
分类,126,131
平均,126,132
mathbf,125,133
之间,125,134
博士,124,135
是一个,124,136
建模,123,137
聚类,123,138
领域,123,139
兴趣,122,140
这种,122,141
本次,121,142
回归,120,143
要的,120,144
告主,119,145
购买,119,146
会场,118,147
上的,117,148
广告主,117,149
的研,117,150
代码,116,151
矩阵,116,152
科技,116,153
销量,116,154
间的,116,155
的问,115,156
两个,114,157
的问题,114,158
天气,113,159
每个,113,160
内容,112,161
定义,112,162
的统,112,163
模型的,111,164
的研究,111,165
frac,110,166
作者,110,167
到的,110,168
并不,110,169
有一,110,170
的用,110,171
的统计,110,172
解决,110,173
面的,110,174
之后,109,175
平台,108,176
标签,108,177
简单,108,178
这一,108,179
多的,107,180
手机,107,181
是我,107,182
销售,107,183
文章,106,184
消费,106,185
软件,106,186
信用,105,187
开发,105,188
更多,105,189
http,104,190
一步,104,191
描述,104,192
是否,104,193
最后,104,194
的方法,104,195
认为,104,196
高端,104,197
同的,103,198
存在,103,199
的用户,103,200
评论,103,201
基础,102,202
深度,102,203
的信,102,204
代表,101,205
复杂,101,206
我的,101,207
获得,101,208
也是,100,209
挖掘,100,210
的工,100,211
程中,100,212
纪要,100,213
一定,99,214
主题,98,215
单位,98,216
广州,98,217
们可,97,218
来的,97,219
科学家,97,220
了解,96,221
展示,96,222
随机,96,223
效果,95,224
数学,95,225
线性,95,226
参会,94,227
学的,94,228
报名,94,229
行了,94,230
支持,93,231
有效,93,232
直接,93,233
mathcal,92,234
在这,92,235
对应,92,236
当时,92,237
的模,92,238
价值,91,239
基本,91,240
新的,91,241
目前,91,242
营销,91,243
论文,91,244
不同的,90,245
交易,90,246
我们可,90,247
指数,90,248
方向,90,249
获取,90,250
记录,90,251
都是,90,252
定的,89,253
每一,89,254
过程中,89,255
们可以,88,256
出现,88,257
数据科学家,88,258
知道,88,259
第二,88,260
策略,88,261
美国,88,262
考虑,88,263
这样的,88,264
业的,87,265
传统,87,266
希望,87,267
的时候,87,268
相对,87,269
程度,87,270
自己的,87,271
说明,87,272
进行了,87,273
采用,87,274
应的,86,275
时代,86,276
社交网,86,277
网站,86,278
这是,86,279
人员,85,280
在一,85,281
届中国,85,282
的预,85,283
目标,85,284
社交网络,85,285
是不,84,286
服务,84,287
的应,84,288
者的,84,289
觉得,84,290
评价,84,291
变化,83,292
建立,83,293
我们可以,83,294
更加,83,295
的应用,83,296
的模型,83,297
看到,83,298
风险,83,299
应该,82,300
的结,82,301
知识,82,302
竞争,82,303
结合,82,304
贝叶斯,82,305
产生,81,306
帮助,81,307
测试,81,308
理解,81,309
组织,81,310
经济,81,311
他的,80,312
具有,80,313
出了,80,314
容易,80,315
成为,80,316
用于,80,317
准确,79,318
的一个,79,319
能力,79,320
趋势,79,321
银行,79,322
性的,78,323
的基,78,324
商业,77,325
讨论,77,326
一下,76,327
世界,76,328
之间的,76,329
人的,76,330
包含,76,331
数的,76,332
最大,76,333
系数,76,334
是在,75,335
里面,75,336
专业,74,337
成本,74,338
计算机,74,339
财经,74,340
驾驶,74,341
一次,73,342
了一个,73,343
工程,73,344
我们的,73,345
理论,73,346
生成,73,347
的信息,73,348
的重,73,349
研究中,73,350
简历,73,351
项目,73,352
三个,72,353
上海,72,354
也可,72,355
分享,72,356
成功,72,357
有很,72,358
的关键,72,359
其实,71,360
医疗,71,361
快速,71,362
投资,71,363
最近,71,364
渠道,71,365
的大,71,366
规模,71,367
进一,71,368
违约,71,369
不能,70,370
优化,70,371
后的,70,372
影响力,70,373
推断,70,374
生物,70,375
的预测,70,376
预测误差,70,377
业界,69,378
以看,69,379
几个,69,380
嘉宾,69,381
程序,69,382
角度,69,383
训练集,69,384
进一步,69,385
需求,69,386
假设,68,387
可以看,68,388
深度学习,68,389
的时间,68,390
设计,68,391
功能,67,392
推广,67,393
案例,67,394
模型选,67,395
的可,67,396
的概,67,397
节点,67,398
行的,67,399
个数,66,400
之前,66,401
因素,66,402
模型选择,66,403
环境,66,404
的影,66,405
解释,66,406
起来,66,407
高端车,66,408
model,65,409
text,65,410
东西,65,411
以下,65,412
另一,65,413
形式,65,414
智能,65,415
的文,65,416
重要的,65,417
参考,64,418
增加,64,419
的发,64,420
的影响,64,421
背景,64,422
车险,64,423
分词,63,424
化的,63,425
学术,63,426
布的,63,427
核心,63,428
的变,63,429
经大,63,430
通常,63,431
介绍了,62,432
原因,62,433
可能也,62,434
控制,62,435
机构,62,436
法的,62,437
王小宁,62,438
生的,62,439
的相,62,440
自然,62,441
论坛,62,442
财经大学,62,443
车辆,62,444
验证,62,445
为一,61,446
导致,61,447
征信,61,448
析的,61,449
的主,61,450
的实,61,451
而不,61,452
速度,61,453
也喜欢,60,454
人群,60,455
分析的,60,456
大量,60,457
实验,60,458
年的,60,459
找到,60,460
抽样,60,461
统的,60,462
编辑,60,463
联系,60,464
cdot,59,465
spark,59,466
中山,59,467
例子,59,468
北京大,59,469
司机,59,470
就可,59,471
得分,59,472
提出,59,473
效率,59,474
数据挖,59,475
方差,59,476
无觅,59,477
是对,59,478
真实,59,479
下来,58,480
个问,58,481
北京大学,58,482
历史,58,483
图形,58,484
就可以,58,485
带来,58,486
您可能也喜欢,58,487
提高,58,488
数据挖掘,58,489
显示,58,490
本的,58,491
趣的,58,492
事情,57,493
地区,57,494
建议,57,495
成了,57,496
提升,57,497
数据可,57,498
数据时,57,499
日期,57,500
